suburb_name,commission_rate
"Belfield, NSW",1.45
"Belmore, NSW",1.39
"Ashbury, NSW",1.62
"Canterbury, NSW",1.57
"Hurlstone Park, NSW",1.62
"Campsie, NSW",1.45
"Lakemba, NSW",1.54
"Wiley Park, NSW",1.55
"Punchbowl, NSW",1.42
"Roselands, NSW",1.45
"Bass Hill, NSW",1.45
"Georges Hall, NSW",1.60
"Yagoona, NSW",1.45
"Yagoona West, NSW",1.45
"Bankstown, NSW",1.33
"Bankstown North, NSW",1.33
"Bankstown Square, NSW",1.33
"Condell Park, NSW",1.33
"Manahan, NSW",1.33
"Mount Lewis, NSW",1.33
"Dulwich Hill, NSW",1.39
"Marrickville, NSW",1.57
"Marrickville Metro, NSW",1.57
"Marrickville South, NSW",1.57
"Arncliffe, NSW",1.51
"Turrella, NSW",1.58
"Wolli Creek, NSW",1.58
"Clemton Park, NSW",1.46
"Earlwood, NSW",1.46
"Bardwell Park, NSW",1.43
"Bardwell Valley, NSW",1.43
"Bexley, NSW",1.38
"Bexley North, NSW",1.43
"Bexley South, NSW",1.43
"Kingsgrove, NSW",1.49
"Kingsway West, NSW",1.49
"Beverly Hills, NSW",1.47
"Narwee, NSW",1.56
"Lugarno, NSW",1.41
"Peakhurst, NSW",1.41
"Peakhurst Heights, NSW",1.41
"Riverwood, NSW",1.49
"Padstow, NSW",1.42
"Padstow Heights, NSW",1.43
"Revesby, NSW",1.51
"Revesby Heights, NSW",1.51
"Revesby North, NSW",1.51
"East Hills, NSW",1.58
"Panania, NSW",1.51
"Picnic Point, NSW",1.58
"Milperra, NSW",1.45
"Banksia, NSW",1.60
"Brighton-Le-Sands, NSW",1.60
"Kyeemagh, NSW",1.60
"Rockdale, NSW",1.60
"Beverley Park, NSW",1.35
"Kogarah, NSW",1.48
"Kogarah Bay, NSW",1.35
"Monterey, NSW",1.35
"Ramsgate, NSW",1.35
"Ramsgate Beach, NSW",1.35
"Allawah, NSW",1.49
"Carlton, NSW",1.49
"Dolls Point, NSW",1.42
"Sandringham, NSW",1.42
